Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1714704118.6324646,1893,0,0,,6.263251304626465,6.263251304626465,6.263251304626465,0.0,0.0,0.0
1714704118.6390529,1894,0,0,,6.274316310882568,6.274316310882568,6.274316310882568,0.0,0.0,0.0
1714704118.6457577,1895,0,0,,6.285358428955078,6.285358428955078,6.285358428955078,0.0,0.0,0.0
1714704118.6525097,1896,0,0,,6.296378135681152,6.296378135681152,6.296378135681152,0.0,0.0,0.0
1714704118.659214,1897,0,0,,6.307374954223633,6.307374954223633,6.307374954223633,0.0,0.0,0.0
1714704118.6658294,1898,0,0,,6.318347930908203,6.318347930908203,6.318347930908203,0.0,0.0,0.0
1714704118.6724732,1899,0,0,,6.329296588897705,6.329296588897705,6.329296588897705,0.0,0.0,0.0
1714704118.6790795,1900,0,0,,6.3402204513549805,6.3402204513549805,6.3402204513549805,0.0,0.0,0.0
1714704118.6857352,1901,0,0,,6.351119518280029,6.351119518280029,6.351119518280029,0.0,0.0,0.0
1714704118.692383,1902,0,0,,6.361991882324219,6.361991882324219,6.361991882324219,0.0,0.0,0.0
1714704118.699161,1903,0,0,,6.372838973999023,6.372838973999023,6.372838973999023,0.0,0.0,0.0
1714704118.705751,1904,0,0,,6.383659362792969,6.383659362792969,6.383659362792969,0.0,0.0,0.0
1714704118.7124069,1905,0,0,,6.3944525718688965,6.3944525718688965,6.3944525718688965,0.0,0.0,0.0
1714704118.7190583,1906,0,0,,6.405218601226807,6.405218601226807,6.405218601226807,0.0,0.0,0.0
1714704118.7258556,1907,0,0,,6.415955543518066,6.415955543518066,6.415955543518066,0.0,0.0,0.0
1714704118.7323937,1908,0,0,,6.426664352416992,6.426664352416992,6.426664352416992,0.0,0.0,0.0
1714704118.7390804,1909,0,0,,6.437344551086426,6.437344551086426,6.437344551086426,0.0,0.0,0.0
1714704118.745697,1910,0,0,,6.447994709014893,6.447994709014893,6.447994709014893,0.0,0.0,0.0
1714704118.752382,1911,0,0,,6.458615303039551,6.458615303039551,6.458615303039551,0.0,0.0,0.0
1714704118.7591166,1912,0,0,,6.469205379486084,6.469205379486084,6.469205379486084,0.0,0.0,0.0
1714704118.7657206,1913,0,0,,6.479764461517334,6.479764461517334,6.479764461517334,0.0,0.0,0.0
1714704118.7724488,1914,0,0,,6.490292072296143,6.490292072296143,6.490292072296143,0.0,0.0,0.0
1714704118.779115,1915,0,0,,6.500787734985352,6.500787734985352,6.500787734985352,0.0,0.0,0.0
1714704118.7856896,1916,0,0,,6.511251449584961,6.511251449584961,6.511251449584961,0.0,0.0,0.0
1714704118.7925444,1917,0,0,,6.521682262420654,6.521682262420654,6.521682262420654,0.0,0.0,0.0
1714704118.7990155,1918,0,0,,6.532079696655273,6.532079696655273,6.532079696655273,0.0,0.0,0.0
1714704118.805821,1919,0,0,,6.54244327545166,6.54244327545166,6.54244327545166,0.0,0.0,0.0
1714704118.8124144,1920,0,0,,6.552772521972656,6.552772521972656,6.552772521972656,0.0,0.0,0.0
1714704118.8190508,1921,0,0,,6.56306791305542,6.56306791305542,6.56306791305542,0.0,0.0,0.0
1714704118.8258886,1922,0,0,,6.573327541351318,6.573327541351318,6.573327541351318,0.0,0.0,0.0
1714704118.832411,1923,0,0,,6.58355188369751,6.58355188369751,6.58355188369751,0.0,0.0,0.0
