Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1713998246.3358786,19552,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.3437362,19553,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.349257,19554,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.3575082,19555,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.363101,19556,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.3694005,19557,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.3761227,19558,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.3827767,19559,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.3905094,19560,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.3962607,19561,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.4028387,19562,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.4105153,19563,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.4159446,19564,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.4228842,19565,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.4297745,19566,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.4362695,19567,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.4431252,19568,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.4506235,19569,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.4560559,19570,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.4634051,19571,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.4692848,19572,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.4763162,19573,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998246.483242,19574,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
