Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1713998060.964272,10526,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998060.9710236,10527,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998060.977358,10528,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998060.983509,10529,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998060.9901228,10530,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998060.998213,10531,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.0041883,10532,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.010291,10533,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.0183265,10534,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.0236168,10535,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.0300343,10536,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.037506,10537,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.0435932,10538,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.0513458,10539,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.0570083,10540,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.063585,10541,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.0713937,10542,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.0774474,10543,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.083477,10544,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.0913181,10545,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.0969005,10546,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.1043923,10547,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.1104615,10548,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.116746,10549,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.123494,10550,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.1304343,10551,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.136969,10552,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.1436355,10553,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.150077,10554,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.156688,10555,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.1634417,10556,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.1715312,10557,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.1766891,10558,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.1847425,10559,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.190586,10560,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.196997,10561,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.2052453,10562,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.210679,10563,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.2168484,10564,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.2238164,10565,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.2300951,10566,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.237,10567,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.2436006,10568,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.2505088,10569,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.2567098,10570,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.263382,10571,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.2707448,10572,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.2779226,10573,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.2838223,10574,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.290213,10575,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.297053,10576,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.304816,10577,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.3109002,10578,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.3168912,10579,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.3239403,10580,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.3301141,10581,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.337018,10582,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.3434565,10583,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.3509824,10584,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.3572173,10585,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.363837,10586,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.3709848,10587,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.3780253,10588,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.3833137,10589,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.3902988,10590,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.3980272,10591,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.403686,10592,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.4100997,10593,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.4170635,10594,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.4241726,10595,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.4300582,10596,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.4372606,10597,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.4441998,10598,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.4512742,10599,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.457297,10600,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.463858,10601,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.4722662,10602,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.4772987,10603,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.485207,10604,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.4900167,10605,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.4966679,10606,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.5044227,10607,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.5100973,10608,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.5167625,10609,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.5237305,10610,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.5313604,10611,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.5367951,10612,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.5434988,10613,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.5502534,10614,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.5568707,10615,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.5645518,10616,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.5700307,10617,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.5767958,10618,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.5836759,10619,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.590255,10620,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.5969243,10621,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.604582,10622,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.610517,10623,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.6166987,10624,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.6235366,10625,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.6307006,10626,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.6376226,10627,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.6437812,10628,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.6500344,10629,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.6571789,10630,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.6634016,10631,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.670695,10632,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.6767485,10633,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.6836247,10634,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.690371,10635,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.6987975,10636,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.703992,10637,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.7107813,10638,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.7170746,10639,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.7236335,10640,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.7308085,10641,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.7368703,10642,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.7450495,10643,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.7508483,10644,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.7570696,10645,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.7639325,10646,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.7708905,10647,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.777078,10648,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.7835746,10649,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.790479,10650,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.7971435,10651,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.8053002,10652,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998061.8112147,10653,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
