Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,p.x,p.y,p.z,p_ref.x,p_ref.y,p_ref.z,p_err.x,p_err.y,p_err.z,p_err_int.x,p_err_int.y,p_err_int.z,v.x,v.y,v.z,v_ref.x,v_ref.y,v_ref.z,v_err.x,v_err.y,v_err.z,a_ff.x,a_ff.y,a_ff.z,a_fb.x,a_fb.y,a_fb.z,j_ff.x,j_ff.y,j_ff.z,j_fb.x,j_fb.y,j_fb.z,q.x,q.y,q.z,q.w,q_ref.x,q_ref.y,q_ref.z,q_ref.w,rpy.x,rpy.y,rpy.z,rpy_ref.x,rpy_ref.y,rpy_ref.z,w.x,w.y,w.z,w_ref.x,w_ref.y,w_ref.z,F_W.x,F_W.y,F_W.z,P_norm,A_norm,y_norm,f_hat.x,f_hat.y,f_hat.z,power
1713998060.9632812,7017,1713998060,978857040,,0.728827953338623,-3.15067982673645,0.8991531729698181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010612477781251073,0.0011171704391017556,0.0003163638466503471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000703281897585839,0.022205112501978874,0.00372675689868629,0.9997463226318359,0.0,0.0,0.0,1.0,-0.0012419259668296101,0.04441879911427542,0.007427783562804574,0.0,0.0,0.0,-0.0006335002835839987,-0.0015301976818591356,-0.0013032564893364906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713998060.9711225,7018,1713998060,988865137,,0.7288239598274231,-3.1506755352020264,0.899154543876648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009942909236997366,0.00116090034134686,0.00036090545472688973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007035902817733586,0.022201642394065857,0.0037253955379128456,0.9997463226318359,0.0,0.0,0.0,1.0,-0.0012426294069779742,0.0444118614737095,0.007425048875245755,0.0,0.0,0.0,0.00013059416960459203,-0.001455508405342698,-0.00021589880634564906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713998060.9812665,7019,1713998060,998872995,,0.7287927269935608,-3.1506662368774414,0.8991362452507019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010861436603590846,0.0010708149056881666,0.0002464993158355355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007040417985990644,0.02220260351896286,0.0037267908919602633,0.9997463226318359,0.0,0.0,0.0,1.0,-0.0012434639526107411,0.04441378807984365,0.007427820519345207,0.0,0.0,0.0,-0.0013985353289172053,0.0018771623726934195,0.0010444301879033446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713998060.991241,7020,1713998061,8864164,,0.7287498116493225,-3.150646686553955,0.8991263508796692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011883412953466177,0.0009684907854534686,0.00028435559943318367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006999550387263298,0.022211631760001183,0.003722212975844741,0.9997462034225464,0.0,0.0,0.0,1.0,-0.0012354213129992598,0.04443181014068258,0.007418830872448816,0.0,0.0,0.0,-0.00044774869456887245,0.0007733585662208498,4.829485260415822e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713998061.0011625,7021,1713998061,18878221,,0.7287041544914246,-3.1506340503692627,0.8991038203239441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012972144177183509,0.001049446756951511,0.00025028889649547637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006908956565894186,0.022215621545910835,0.0037146671675145626,0.9997460842132568,0.0,0.0,0.0,1.0,-0.0012175955329656032,0.04443971809397111,0.007404127783950899,0.0,0.0,0.0,0.00019224456627853215,0.0022271203342825174,-0.0012827996397390962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713998061.0108054,7022,1713998061,28853654,,0.7287193536758423,-3.15065598487854,0.8991026878356934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013273032382130623,0.0008593272650614381,0.00011169336357852444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006814380758441985,0.022211190313100815,0.0037095053121447563,0.9997462034225464,0.0,0.0,0.0,1.0,-0.0011989286531279173,0.044430777486667856,0.007394220914790485,0.0,0.0,0.0,0.002333474811166525,-0.0014670852106064558,0.0006835694657638669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713998061.021226,7023,1713998061,39013862,,0.7287347316741943,-3.150660276412964,0.8991129994392395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011543227592483163,0.0008228452643379569,0.0001893197768367827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006807668250985444,0.02220151573419571,0.0037085250951349735,0.9997463822364807,0.0,0.0,0.0,1.0,-0.0011976998892735677,0.04441141933564646,0.007392297583473438,0.0,0.0,0.0,-0.0006692157476209104,-0.001981100533157587,-0.00039886837475933135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713998061.0312877,7024,1713998061,48863887,,0.7287302017211914,-3.1506569385528564,0.8991138339042664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011722190538421273,0.0009399003465659916,0.00018626305973157287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000681112171150744,0.02219676412642002,0.0037067588418722153,0.9997465014457703,0.0,0.0,0.0,1.0,-0.001198504492289789,0.04440191395131546,0.00738875117442217,0.0,0.0,0.0,0.00011881832324434072,-0.0024698146153241396,-0.0011666595237329602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713998061.0412679,7025,1713998061,59019565,,0.728745698928833,-3.1506576538085938,0.8991248607635498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010849136160686612,0.0008253216510638595,0.00012871900980826467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006746365688741207,0.022187313064932823,0.00370665336959064,0.9997467994689941,0.0,0.0,0.0,1.0,-0.0011856178130207902,0.04438295561413064,0.007388835356782844,0.0,0.0,0.0,0.0010095047764480114,-0.0019374111434444785,-0.00041368379606865346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713998061.0522256,7026,1713998061,68869590,,0.728776752948761,-3.1506786346435547,0.8991284966468811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008693546405993402,0.0007439327309839427,0.00016608124133199453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006723598926328123,0.022189771756529808,0.0036986558698117733,0.9997467398643494,0.0,0.0,0.0,1.0,-0.001181398416103794,0.0443878495049668,0.007372927724655433,0.0,0.0,0.0,-0.0006649424321949482,0.0018889991333708167,-0.001223943312652409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
