Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1713998810.3002357,26565,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.3065925,26566,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.3136146,26567,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.3196576,26568,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.3268125,26569,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.3333254,26570,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.3396864,26571,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.3470912,26572,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.3530977,26573,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.36012,26574,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.3667552,26575,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.373256,26576,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.3804042,26577,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.386974,26578,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.3937643,26579,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.4003758,26580,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.4062574,26581,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.413214,26582,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.4202697,26583,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.4268985,26584,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.4331956,26585,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.4401035,26586,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.4462855,26587,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.4530709,26588,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.4595742,26589,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.4661949,26590,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.4732285,26591,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.4800284,26592,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.4862008,26593,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.4939718,26594,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.499871,26595,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.506634,26596,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.5129342,26597,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.520197,26598,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.5265071,26599,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.5329342,26600,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.5398,26601,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.5465574,26602,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.5529184,26603,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.560248,26604,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.5664103,26605,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.5740058,26606,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.5797036,26607,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.5862541,26608,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.593279,26609,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.6002429,26610,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.6065652,26611,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.6148815,26612,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.6203353,26613,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.6269226,26614,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.633617,26615,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.6404636,26616,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.6474931,26617,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.6538072,26618,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.6602166,26619,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.6663387,26620,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.6733747,26621,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.6804154,26622,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.6862192,26623,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.6931355,26624,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.6999187,26625,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.706571,26626,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.7136376,26627,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.721814,26628,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.726507,26629,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.7348049,26630,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.7404773,26631,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.7464588,26632,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.7531683,26633,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.759693,26634,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.7661834,26635,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.7732449,26636,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.7800198,26637,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.786617,26638,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.7936926,26639,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.7996485,26640,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.8067043,26641,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.814686,26642,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.8206537,26643,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.8270414,26644,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.833035,26645,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.8400793,26646,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.846191,26647,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.8530443,26648,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.8607626,26649,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.8668218,26650,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.8739333,26651,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.879905,26652,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.8863552,26653,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.8930333,26654,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.8998036,26655,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.9063458,26656,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.9130688,26657,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.919751,26658,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.9281328,26659,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.9330692,26660,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.9412544,26661,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.9470038,26662,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.9529202,26663,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.9599006,26664,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.9668221,26665,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.9731708,26666,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.9799874,26667,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.9866543,26668,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998810.9939418,26669,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998811.0001214,26670,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998811.006655,26671,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998811.01352,26672,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998811.0208051,26673,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998811.0262349,26674,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998811.033144,26675,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998811.039565,26676,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998811.04649,26677,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998811.0539196,26678,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998811.059905,26679,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998811.066813,26680,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998811.0732844,26681,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998811.0803616,26682,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998811.0862503,26683,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998811.0943527,26684,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998811.1008208,26685,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713998811.107024,26686,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
