Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,p.x,p.y,p.z,p_ref.x,p_ref.y,p_ref.z,p_err.x,p_err.y,p_err.z,p_err_int.x,p_err_int.y,p_err_int.z,v.x,v.y,v.z,v_ref.x,v_ref.y,v_ref.z,v_err.x,v_err.y,v_err.z,a_ff.x,a_ff.y,a_ff.z,a_fb.x,a_fb.y,a_fb.z,j_ff.x,j_ff.y,j_ff.z,j_fb.x,j_fb.y,j_fb.z,q.x,q.y,q.z,q.w,q_ref.x,q_ref.y,q_ref.z,q_ref.w,rpy.x,rpy.y,rpy.z,rpy_ref.x,rpy_ref.y,rpy_ref.z,w.x,w.y,w.z,w_ref.x,w_ref.y,w_ref.z,F_W.x,F_W.y,F_W.z,P_norm,A_norm,y_norm,f_hat.x,f_hat.y,f_hat.z,power
1714203487.9281938,1,1714203487,927504062,,1.917420744895935,-0.059196777641773224,1.041404366493225,1.9943177700042725,0.15065361559391022,0.9999914765357971,0.0768970251083374,0.20985039323568344,-0.04141288995742798,0.0,0.0,0.0,0.2615278363227844,0.41895294189453125,0.0465727224946022,-0.06310564279556274,0.8353778719902039,0.0,-0.32463347911834717,0.4164249300956726,-0.0465727224946022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.059469934552907944,-0.04334909841418266,-0.001346888137049973,0.9972875714302063,-0.08430755624559609,-0.06005463474658328,0.0,0.9946284114207427,-0.11922986138175737,-0.08673191963511558,0.0024787860959218175,-0.16973289847479506,-0.11975009117430153,0.010199336886466062,-0.45531386137008667,-0.25556838512420654,-0.004444880411028862,0.0,0.0,0.0,-1.5210372537374497,2.135304533317685,12.459337868381738,0.0,0.0,0.0,0.0,0.0,0.0,True
1714203487.937787,2,1714203487,937299489,,1.91996169090271,-0.05494050309062004,1.0418709516525269,1.9934452772140503,0.16178958117961884,0.9999914765357971,0.07348358631134033,0.21673008427023888,-0.041879475116729736,0.0,0.0,0.0,0.25300630927085876,0.4307832419872284,0.0465029776096344,-0.06777026504278183,0.8350124359130859,0.0,-0.3207765743136406,0.40422919392585754,-0.0465029776096344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06154017150402069,-0.04453851655125618,-0.001276533119380474,0.997109591960907,-0.08307171766204648,-0.0598293202964822,0.0,0.9947459686560877,-0.1234121569861228,-0.08909449942097637,0.0029478251232456284,-0.1672322873263058,-0.11931282957358336,0.010011590624506784,-0.37691763043403625,-0.23234926164150238,0.019758278504014015,0.0,0.0,0.0,-1.5146712429821492,2.103088272176683,12.458396752018928,0.0,0.0,0.0,0.0,0.0,0.0,True
1714203487.9478583,3,1714203487,947334766,,1.922410488128662,-0.05057560279965401,1.042325496673584,1.9925105571746826,0.17292051017284393,0.9999914765357971,0.07010006904602051,0.22349611297249794,-0.042334020137786865,0.0,0.0,0.0,0.24398669600486755,0.4423220753669739,0.045915067195892334,-0.07243277877569199,0.8346208930015564,0.0,-0.31641947478055954,0.3922988176345825,-0.045915067195892334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06319598108530045,-0.04549144208431244,-0.0012364182621240616,0.9969630837440491,-0.08185119169407645,-0.059513725648967036,0.0,0.9948660708244297,-0.12675772743046365,-0.09098833388686978,0.0032980742115289877,-0.16476037775134417,-0.11869488150887307,0.009811730103532841,-0.3028307557106018,-0.165348082780838,0.01882994920015335,0.0,0.0,0.0,-1.5062624968588352,2.0716125402599572,12.459507785577774,0.0,0.0,0.0,0.0,0.0,0.0,True
1714203487.9578137,4,1714203487,957306146,,1.9247690439224243,-0.04607461020350456,1.0427775382995605,1.9920198917388916,0.1784839630126953,0.9999914765357971,0.06725084781646729,0.22455857321619987,-0.04278606176376343,0.0,0.0,0.0,0.23435759544372559,0.45444542169570923,0.04595329239964485,-0.07476318627595901,0.8344153761863708,0.0,-0.3091207817196846,0.3799699544906616,-0.04595329239964485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06458786129951477,-0.04625220224261284,-0.001308735809288919,0.9968387484550476,-0.08006601975275882,-0.05871810768551685,0.0,0.9950585994356227,-0.1295609479417224,-0.09251293376305937,0.0033799241849267634,-0.16113636758316735,-0.11712351416515518,0.009467654864793605,-0.2500108778476715,-0.13967497646808624,-0.017196567729115486,0.0,0.0,0.0,-1.485093679279089,2.025023362413049,12.4581833990556,0.0,0.0,0.0,0.0,0.0,0.0,True
1714203487.9679503,5,1714203487,967368602,,1.9270333051681519,-0.04146819934248924,1.04323410987854,1.9909920692443848,0.1896066516637802,0.9999914765357971,0.06395876407623291,0.23107485100626945,-0.04324263334274292,0.0,0.0,0.0,0.2254972904920578,0.4641838073730469,0.046991754323244095,-0.0794222503900528,0.8339848518371582,0.0,-0.3049195408821106,0.36980104446411133,-0.046991754323244095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06566988676786423,-0.047027215361595154,-0.001357903005555272,0.9967317581176758,-0.07912297187943919,-0.05844037552480858,0.0,0.995150379505271,-0.1317442894470577,-0.0940640244939887,0.003485026736350612,-0.15922666429282836,-0.11657780056187053,0.00931128636448704,-0.18974828720092773,-0.14219745993614197,-0.0053093512542545795,0.0,0.0,0.0,-1.4770337849855424,1.9997698780149222,12.452946311448216,0.0,0.0,0.0,0.0,0.0,0.0,True
1714203487.9781716,6,1714203487,977468967,,1.9292032718658447,-0.03676525503396988,1.0436882972717285,1.9904547929763794,0.19516581296920776,0.9999914765357971,0.06125152111053467,0.23193106800317764,-0.043696820735931396,0.0,0.0,0.0,0.21689629554748535,0.4761725664138794,0.04651061072945595,-0.08175086975097656,0.8337597846984863,0.0,-0.2986471652984619,0.35758721828460693,-0.04651061072945595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06655041128396988,-0.04768874868750572,-0.0013809776864945889,0.9966418743133545,-0.07731459097652298,-0.05777484221606059,0.0,0.9953313627275303,-0.133523691888311,-0.09538558391795443,0.00361115415499611,-0.15556204098903118,-0.11526529283231655,0.008993474951129999,-0.15677255392074585,-0.11328919231891632,0.002437269315123558,0.0,0.0,0.0,-1.4594878077507019,1.9530940901488067,12.4536418842417,0.0,0.0,0.0,0.0,0.0,0.0,True
1714203487.9877653,7,1714203487,987308740,,1.9312827587127686,-0.03190530464053154,1.0441313982009888,1.9893337488174438,0.20627950131893158,0.9999914765357971,0.05805099010467529,0.23818480595946312,-0.04413992166519165,0.0,0.0,0.0,0.2060474306344986,0.4904094934463501,0.044749632477760315,-0.0864061564207077,0.8332902193069458,0.0,-0.2924535870552063,0.3428807258605957,-0.044749632477760315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06726537644863129,-0.048314183950424194,-0.0014495834475383162,0.9965636134147644,-0.07559171447441865,-0.057141165923203986,0.0,0.9955002661274154,-0.13496561773307858,-0.09664168879057729,0.003627473547375009,-0.1520721542654046,-0.1140149524336356,0.008695362351333013,-0.1329551488161087,-0.10966123640537262,-0.0022886856459081173,0.0,0.0,0.0,-1.443398529291153,1.9094634793698788,12.459357637007237,0.0,0.0,0.0,0.0,0.0,0.0,True
1714203487.9978573,8,1714203487,997308492,,1.9332537651062012,-0.02691022679209709,1.044565200805664,1.9887499809265137,0.21183395385742188,0.9999914765357971,0.0554962158203125,0.23874418064951897,-0.04457372426986694,0.0,0.0,0.0,0.1966150403022766,0.5044174790382385,0.04455483704805374,-0.08873280137777328,0.8330456614494324,0.0,-0.2853478416800499,0.32862818241119385,-0.04455483704805374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06783142685890198,-0.048821110278367996,-0.0015519754961133003,0.9965004324913025,-0.07344698671394705,-0.056338860662051585,0.0,0.9957065194734558,-0.13610294962193026,-0.09766624240656417,0.003547033191743677,-0.14772936688801094,-0.11243065821415152,0.008328518305028806,-0.10462544113397598,-0.09429924935102463,-0.01756919175386429,0.0,0.0,0.0,-1.4221953757107257,1.8540659792721272,12.458989452410936,0.0,0.0,0.0,0.0,0.0,0.0,True
1714203488.0077126,9,1714203488,7289409,,1.935131311416626,-0.02177686244249344,1.0449918508529663,1.987535834312439,0.22293788194656372,0.9999914765357971,0.05240452289581299,0.24471474438905716,-0.04500037431716919,0.0,0.0,0.0,0.18681758642196655,0.5188126564025879,0.04421962797641754,-0.09338400512933731,0.8325371146202087,0.0,-0.28020159155130386,0.31372445821762085,-0.04421962797641754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06830791383981705,-0.04927097260951996,-0.001591383945196867,0.9964456558227539,-0.07169154426470854,-0.055876577991525025,0.0,0.9958604975160419,-0.13706541768054017,-0.09856862809310038,0.0035771099136905947,-0.14418114545321595,-0.11152157660168269,0.008061924506304666,-0.0809851735830307,-0.09889976680278778,-0.0047758459113538265,0.0,0.0,0.0,-1.4098864667117597,1.8089321441948414,12.459187477667331,0.0,0.0,0.0,0.0,0.0,0.0,True
1714203488.0176873,10,1714203488,17294406,,1.9369064569473267,-0.016488881781697273,1.0454155206680298,1.986905574798584,0.22848725318908691,0.9999914765357971,0.049999117851257324,0.2449761349707842,-0.045424044132232666,0.0,0.0,0.0,0.17616872489452362,0.5335413813591003,0.04317320138216019,-0.09570851922035217,0.8322730660438538,0.0,-0.2718772441148758,0.2987316846847534,-0.04317320138216019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06865449994802475,-0.04975060001015663,-0.0015526300994679332,0.9963980317115784,-0.06938092277256598,-0.05485578061953958,0.0,0.9960808857155368,-0.1377749486167983,-0.09952018662236474,0.0037557222199232215,-0.13950285928214473,-0.10950028169274055,0.007657827771027984,-0.08022098243236542,-0.08980852365493774,0.008469670079648495,0.0,0.0,0.0,-1.38353178948164,1.7498741455376148,12.46216699986577,0.0,0.0,0.0,0.0,0.0,0.0,True
