Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,p.x,p.y,p.z,p_ref.x,p_ref.y,p_ref.z,p_err.x,p_err.y,p_err.z,p_err_int.x,p_err_int.y,p_err_int.z,v.x,v.y,v.z,v_ref.x,v_ref.y,v_ref.z,v_err.x,v_err.y,v_err.z,a_ff.x,a_ff.y,a_ff.z,a_fb.x,a_fb.y,a_fb.z,j_ff.x,j_ff.y,j_ff.z,j_fb.x,j_fb.y,j_fb.z,q.x,q.y,q.z,q.w,q_ref.x,q_ref.y,q_ref.z,q_ref.w,rpy.x,rpy.y,rpy.z,rpy_ref.x,rpy_ref.y,rpy_ref.z,w.x,w.y,w.z,w_ref.x,w_ref.y,w_ref.z,F_W.x,F_W.y,F_W.z,P_norm,A_norm,y_norm,f_hat.x,f_hat.y,f_hat.z,power
1714703891.3617737,1,1714703891,359605789,,2.189206123352051,0.3388120234012604,1.107346773147583,1.9452277421951294,0.464853972196579,1.0,-0.2439783811569214,0.1260419487953186,-0.10734677314758301,0.0,0.0,0.0,0.3791082799434662,1.1339664459228516,0.38954073190689087,-0.19471758604049683,0.814815104007721,0.0,-0.573825865983963,-0.3191513419151306,-0.38954073190689087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012507314793765545,-0.0989244282245636,0.00019058623001910746,0.99501633644104,0.014051784772523562,-0.1263626966546318,0.0,0.9918845780829925,-0.025427932183856913,-0.1981522479301588,0.0029107931334404896,0.028798856484025203,-0.25337685594229503,-0.003668376743149834,0.25958454608917236,-0.2780681252479553,-0.03538040444254875,0.0,0.0,0.0,-2.9604926109313965,-0.3292127251625061,11.428290367126465,6.760909557342529,1.1394704580307007,1.5203717947006226,1.0599405765533447,-0.547685980796814,0.54641193151474,True
1714703891.372064,2,1714703891,369640350,,2.1929781436920166,0.35016536712646484,1.111269474029541,1.9426010847091675,0.47571083903312683,1.0,-0.2503770589828491,0.125545471906662,-0.11126947402954102,0.0,0.0,0.0,0.3711510896682739,1.1465548276901245,0.39142006635665894,-0.19926530122756958,0.813714861869812,0.0,-0.5704163908958435,-0.3328399658203125,-0.39142006635665894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011311027221381664,-0.10034767538309097,0.00023347846581600606,0.9948882460594177,0.0158078803623853,-0.1281677496909734,0.0,0.991626511776284,-0.023018756246487235,-0.20101511592513624,0.0027908385519617657,0.032421415794914525,-0.2570091481150314,-0.004189746907329855,0.2471521496772766,-0.2886127233505249,0.03106049634516239,0.0,0.0,0.0,-2.9974496364593506,-0.3696977198123932,11.39889144897461,6.760909557342529,1.1624248027801514,1.5259156227111816,1.0981659889221191,-0.5427501201629639,0.5677335262298584,True
1714703891.381706,3,1714703891,379619836,,2.1966569423675537,0.3616236746311188,1.1152074337005615,1.9412651062011719,0.4811337888240814,1.0,-0.25539183616638184,0.11951011419296265,-0.11520743370056152,0.0,0.0,0.0,0.36144983768463135,1.157362461090088,0.394074022769928,-0.2015368491411209,0.8131552338600159,0.0,-0.5629866868257523,-0.344207227230072,-0.394074022769928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01008883398026228,-0.10178659856319427,0.0003523884224705398,0.9947550296783447,0.01769461712108679,-0.12912315455838466,0.0,0.9914706811004699,-0.02057117572593715,-0.20390845886319525,0.002813181969963487,0.036305327351558385,-0.25892718242015744,-0.004727165594828672,0.23695658147335052,-0.3173872232437134,-0.012608528137207031,0.0,0.0,0.0,-3.0138556957244873,-0.41300898790359497,11.370988845825195,6.760909557342529,1.185491919517517,1.5297496318817139,1.1259994506835938,-0.5331789255142212,0.5845922231674194,True
1714703891.3915274,4,1714703891,389573812,,2.200244188308716,0.37321022152900696,1.1191835403442383,1.9385477304458618,0.4919682741165161,1.0,-0.261696457862854,0.11875805258750916,-0.11918354034423828,0.0,0.0,0.0,0.35199448466300964,1.1688934564590454,0.39688241481781006,-0.20607519149780273,0.812017023563385,0.0,-0.5580696761608124,-0.3568764328956604,-0.39688241481781006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008870930410921574,-0.10320989787578583,0.00034984594094567,0.9946200251579285,0.019556946757729586,-0.13039314665415494,0.0,0.9912694654528321,-0.01810526166800107,-0.20677332923008715,0.002582067810091924,0.040147490637183286,-0.2614789260779312,-0.005279670101771203,0.2589665353298187,-0.2904430329799652,-0.03446699306368828,0.0,0.0,0.0,-3.0378971099853516,-0.4556373655796051,11.342988967895508,6.760909557342529,1.2086541652679443,1.5328155755996704,1.1552095413208008,-0.5237908363342285,0.602108895778656,True
1714703891.4019907,5,1714703891,399595737,,2.2037394046783447,0.3849128782749176,1.1231880187988281,1.9371663331985474,0.4973798096179962,1.0,-0.26657307147979736,0.11246693134307861,-0.12318801879882812,0.0,0.0,0.0,0.34086087346076965,1.1783087253570557,0.3982906639575958,-0.20834197103977203,0.8114383816719055,0.0,-0.5492028445005417,-0.36687034368515015,-0.3982906639575958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007527277339249849,-0.10465811938047409,0.0003499668382573873,0.994479775428772,0.021287107477722604,-0.1314557065833411,0.0,0.9910934649476337,-0.015382231497739587,-0.20968874308026036,0.002322526207727022,0.043718733587178475,-0.26361232684178265,-0.005796908982228258,0.2794148325920105,-0.2897959053516388,-0.022761022672057152,0.0,0.0,0.0,-3.0566060543060303,-0.494967520236969,11.314420700073242,6.760909557342529,1.2321897745132446,1.5366029739379883,1.1886504888534546,-0.5149129629135132,0.6220208406448364,True
1714703891.41185,6,1714703891,409586668,,2.207124948501587,0.39666977524757385,1.1271941661834717,1.9343582391738892,0.5081911683082581,1.0,-0.27276670932769775,0.1115213930606842,-0.12719416618347168,0.0,0.0,0.0,0.33217987418174744,1.1876832246780396,0.39984366297721863,-0.21287062764167786,0.8102620840072632,0.0,-0.5450505018234253,-0.37742114067077637,-0.39984366297721863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006131334695965052,-0.10604943335056305,0.0003708934527821839,0.9943419098854065,0.022988979500754375,-0.1328752906625588,0.0,0.990866118076935,-0.012554641880213255,-0.21248967887231565,0.002084932791066291,0.04724224174541322,-0.26646541442064764,-0.006332877576667102,0.2773714065551758,-0.2944478392601013,-0.026080816984176636,0.0,0.0,0.0,-3.0845184326171875,-0.5336577892303467,11.287795066833496,6.760909557342529,1.2559123039245605,1.5401451587677002,1.2201385498046875,-0.5047087073326111,0.6412017941474915,True
1714703891.42183,7,1714703891,419597864,,2.2104363441467285,0.4085177481174469,1.1312174797058105,1.9329315423965454,0.513590931892395,1.0,-0.2775048017501831,0.10507318377494812,-0.13121747970581055,0.0,0.0,0.0,0.3244568407535553,1.1959385871887207,0.40135887265205383,-0.215132474899292,0.8096644878387451,0.0,-0.5395893156528473,-0.3862740993499756,-0.40135887265205383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0046666692942380905,-0.10748763382434845,0.000429011503001675,0.9941954612731934,0.02472475084931889,-0.1341553577313366,0.0,0.9906518191006445,-0.009593190060958443,-0.21538484324805418,0.001900166703449607,0.05083708233625896,-0.26903627032928873,-0.00688151314052332,0.285902202129364,-0.28301846981048584,-0.026991764083504677,0.0,0.0,0.0,-3.1087419986724854,-0.5729392766952515,11.260395050048828,6.760909557342529,1.2799513339996338,1.5430068969726562,1.2517063617706299,-0.4938874840736389,0.6605658531188965,True
1714703891.4331362,8,1714703891,429638147,,2.2136833667755127,0.4204842150211334,1.135265827178955,1.9300329685211182,0.5243783593177795,1.0,-0.28365039825439453,0.10389414429664612,-0.13526582717895508,0.0,0.0,0.0,0.3163471817970276,1.2038519382476807,0.40291136503219604,-0.21965110301971436,0.8084503412246704,0.0,-0.5359982848167419,-0.39540159702301025,-0.40291136503219604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032223952002823353,-0.10894608497619629,0.0004851612902712077,0.9940423965454102,0.026372028216990088,-0.1356474240832793,0.0,0.9904061250150331,-0.006670496219616194,-0.21832111276508723,0.0017072017941273368,0.05425899052510546,-0.27203491953829306,-0.007427810563166887,0.2801971435546875,-0.3052486777305603,-0.032809317111968994,0.0,0.0,0.0,-3.138119697570801,-0.6101006865501404,11.233195304870605,6.760909557342529,1.3043842315673828,1.5464675426483154,1.283661127090454,-0.4821939468383789,0.6805073022842407,True
1714703891.4426222,9,1714703891,439647912,,2.2168376445770264,0.4325127899646759,1.1393213272094727,1.9285610914230347,0.5297660231590271,1.0,-0.2882765531539917,0.0972532331943512,-0.13932132720947266,0.0,0.0,0.0,0.30727991461753845,1.2119886875152588,0.4041711390018463,-0.22190788388252258,0.8078337907791138,0.0,-0.529187798500061,-0.404154896736145,-0.4041711390018463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017819354543462396,-0.1103615090250969,0.0005003339028917253,0.9938898682594299,0.02815995137113092,-0.13681006858461697,0.0,0.9901969613529664,-0.003743731282684514,-0.2211713119166718,0.0014225189167754147,0.05796719641069174,-0.27436716719999527,-0.008004609666630379,0.3005792200565338,-0.27296751737594604,-0.03237730637192726,0.0,0.0,0.0,-3.1592869758605957,-0.6502838134765625,11.205567359924316,6.760909557342529,1.328901767730713,1.5490171909332275,1.3152928352355957,-0.47018933296203613,0.7002806663513184,True
1714703891.452582,10,1714703891,449672937,,2.2199044227600098,0.44465285539627075,1.1433966159820557,1.9255722761154175,0.5405287742614746,1.0,-0.2943321466445923,0.09587591886520386,-0.14339661598205566,0.0,0.0,0.0,0.29829439520835876,1.2207775115966797,0.40519723296165466,-0.22641617059707642,0.8065818548202515,0.0,-0.5247105658054352,-0.4141956567764282,-0.40519723296165466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002622748143039644,-0.11177578568458557,0.0004841103218495846,0.9937333464622498,0.02993632507370612,-0.13834544244418398,0.0,0.9899314900517128,-0.0006456185131949625,-0.224019404659652,0.001046945825864663,0.0616656992080284,-0.2774509967277011,-0.008612583904841249,0.3061218857765198,-0.2921001613140106,-0.0209086574614048,0.0,0.0,0.0,-3.1893866062164307,-0.69014573097229,11.17753791809082,6.760909557342529,1.3537975549697876,1.5528768301010132,1.3498033285140991,-0.45794248580932617,0.7218773365020752,True
