Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,p.x,p.y,p.z,p_ref.x,p_ref.y,p_ref.z,p_err.x,p_err.y,p_err.z,p_err_int.x,p_err_int.y,p_err_int.z,v.x,v.y,v.z,v_ref.x,v_ref.y,v_ref.z,v_err.x,v_err.y,v_err.z,a_ff.x,a_ff.y,a_ff.z,a_fb.x,a_fb.y,a_fb.z,j_ff.x,j_ff.y,j_ff.z,j_fb.x,j_fb.y,j_fb.z,q.x,q.y,q.z,q.w,q_ref.x,q_ref.y,q_ref.z,q_ref.w,rpy.x,rpy.y,rpy.z,rpy_ref.x,rpy_ref.y,rpy_ref.z,w.x,w.y,w.z,w_ref.x,w_ref.y,w_ref.z,F_W.x,F_W.y,F_W.z,P_norm,A_norm,y_norm,f_hat.x,f_hat.y,f_hat.z,power
1714204025.683307,1,1714204025,682925224,,1.9142537117004395,-0.051952872425317764,1.0545669794082642,1.9968814849853516,0.11164301633834839,1.0,0.08262777328491211,0.16359588876366615,-0.05456697940826416,0.0,0.0,0.0,0.5698083639144897,0.6317027807235718,0.2790006697177887,-0.04676491767168045,0.8364517688751221,0.0,-0.6165732815861702,0.2047489881515503,-0.2790006697177887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03515656292438507,-0.03905897215008736,-0.0011176366824656725,0.9986177086830139,-0.05082871055793197,-0.1121962596360112,0.0,0.9923852283799406,-0.07040155398774442,-0.078168114423197,0.000515749675227287,-0.10366725725950351,-0.2245665549274631,0.011699611439973365,-0.7787635326385498,-0.8655990362167358,-0.015551234595477581,0.0,0.0,0.0,-2.645287325233221,1.1984048686921598,11.518668241639137,0.0,0.0,0.0,0.0,0.0,0.0,True
1714204025.6932788,2,1714204025,692895889,,1.9201172590255737,-0.045467622578144073,1.0575040578842163,1.9965620040893555,0.11721891909837723,1.0,0.07644474506378174,0.1626865416765213,-0.05750405788421631,0.0,0.0,0.0,0.5822281241416931,0.6585642695426941,0.2945656478404999,-0.04910054802894592,0.8363179564476013,0.0,-0.631328672170639,0.17775368690490723,-0.2945656478404999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03874441608786583,-0.04343811422586441,-0.0011722693452611566,0.9983039498329163,-0.04645413876385211,-0.11592721732386263,0.0,0.9921707984390867,-0.07762631001597133,-0.08692914798852308,0.001029293104488532,-0.09486338882819452,-0.2321179624662237,0.01106763689825057,-0.6608868837356567,-0.8717191219329834,-0.009213995188474655,0.0,0.0,0.0,-2.718836346268654,1.0894870404154062,11.450328422923088,0.0,0.0,0.0,0.0,0.0,0.0,True
1714204025.7033815,3,1714204025,702927112,,1.9261025190353394,-0.03869013860821724,1.060598611831665,1.9958761930465698,0.12836793065071106,1.0,0.06977367401123047,0.1670580692589283,-0.06059861183166504,0.0,0.0,0.0,0.5926118493080139,0.6850719451904297,0.3094082474708557,-0.05377063527703285,0.8360306620597839,0.0,-0.6463824845850468,0.15095871686935425,-0.3094082474708557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041664790362119675,-0.04781037196516991,-0.0011506251757964492,0.997986376285553,-0.04258309416578544,-0.11974974731308397,0.0,0.9918904567086632,-0.0835304027197255,-0.09566996235188754,0.0016951544381481297,-0.08707502371391627,-0.23985035007020256,0.010499376946859318,-0.5193790197372437,-0.8585285544395447,0.006833601277321577,0.0,0.0,0.0,-2.7947345551103355,0.993809568695724,11.384396444101334,0.0,0.0,0.0,0.0,0.0,0.0,True
1714204025.7133143,4,1714204025,712914943,,1.932126522064209,-0.03171304985880852,1.0638195276260376,1.9955098628997803,0.13394096493721008,1.0,0.06338334083557129,0.1656540147960186,-0.0638195276260376,0.0,0.0,0.0,0.601000189781189,0.7114802598953247,0.325847327709198,-0.05610506236553192,0.8358772397041321,0.0,-0.6571052521467209,0.12439697980880737,-0.325847327709198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04386558756232262,-0.05203629285097122,-0.0010275678941980004,0.9976807832717896,-0.03815161833254984,-0.12295285216471408,0.0,0.9916789047686603,-0.08801025836889356,-0.10410933938140869,0.0025285290817243337,-0.07810318632233874,-0.24634351501252874,0.00967389631044238,-0.3847954571247101,-0.8628999590873718,0.021408867090940475,0.0,0.0,0.0,-2.85308468490839,0.8852970553562045,11.31190965010643,0.0,0.0,0.0,0.0,0.0,0.0,True
1714204025.723329,5,1714204025,722929239,,1.9383118152618408,-0.0243833065032959,1.067246437072754,1.9947307109832764,0.14508384466171265,1.0,0.05641889572143555,0.16946715116500854,-0.0672464370727539,0.0,0.0,0.0,0.611251711845398,0.7370069622993469,0.34140777587890625,-0.06077257916331291,0.835550844669342,0.0,-0.6720242910087109,0.09854388236999512,-0.34140777587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045430298894643784,-0.05630454048514366,-0.0009374840301461518,0.9973791241645813,-0.03429791540977232,-0.12687550219283703,0.0,0.9913255065526457,-0.09122059306841801,-0.11263713712457489,0.00326651506492745,-0.07031798976504797,-0.25428125766194376,0.008992404431559863,-0.25120604038238525,-0.8425356149673462,-0.01608925126492977,0.0,0.0,0.0,-2.929198740795255,0.7918424667790532,11.242313937683106,0.0,0.0,0.0,0.0,0.0,0.0,True
1714204025.7333608,6,1714204025,732933998,,1.9444984197616577,-0.016895804554224014,1.070764183998108,1.9943177700042725,0.15065361559391022,1.0,0.049819350242614746,0.16754942014813423,-0.07076418399810791,0.0,0.0,0.0,0.6199035048484802,0.7636817097663879,0.35523521900177,-0.06310564279556274,0.8353778719902039,0.0,-0.683009147644043,0.07169616222381592,-0.35523521900177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046230681240558624,-0.06033337861299515,-0.0008863982511684299,0.997106671333313,-0.02963355635358605,-0.1300931384170097,0.0,0.9910588416812857,-0.09289523585804656,-0.12069239997184547,0.003838774067526233,-0.06083058608051767,-0.2608065501183694,0.007980198364284841,-0.12520571053028107,-0.8095201253890991,-0.022401422262191772,0.0,0.0,0.0,-2.989104315638542,0.6808798085898161,11.179240767498015,0.0,0.0,0.0,0.0,0.0,0.0,True
1714204025.7434483,7,1714204025,742941856,,1.9508458375930786,-0.009034845046699047,1.074451208114624,1.9934452772140503,0.16178958117961884,1.0,0.04259943962097168,0.17082442622631788,-0.07445120811462402,0.0,0.0,0.0,0.6278659701347351,0.7914670705795288,0.3679283559322357,-0.06777026504278183,0.8350124359130859,0.0,-0.6956362351775169,0.04354536533355713,-0.3679283559322357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046490009874105453,-0.06425939500331879,-0.0007600995013490319,0.9968494772911072,-0.025221739485923378,-0.13360832880791282,0.0,0.9907132169959483,-0.09349573329901319,-0.12853821711337984,0.00449654000989797,-0.05184726759170913,-0.26792918450600456,0.00698908613249048,-0.006363661028444767,-0.7834729552268982,-0.0020001453813165426,0.0,0.0,0.0,-3.0569227017462253,0.5770666297525168,11.120151270766257,0.0,0.0,0.0,0.0,0.0,0.0,True
1714204025.753277,8,1714204025,752908945,,1.9571783542633057,-0.001004181569442153,1.0782127380371094,1.992985725402832,0.1673557013273239,1.0,0.03580737113952637,0.16835988289676607,-0.07821273803710938,0.0,0.0,0.0,0.6343777775764465,0.817226231098175,0.38079723715782166,-0.070101797580719,0.8348199129104614,0.0,-0.7044795751571655,0.017593681812286377,-0.38079723715782166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04611076042056084,-0.06812327355146408,-0.0005962178111076355,0.9966105818748474,-0.020555210135570667,-0.13649831009602706,0.0,0.9904270264270919,-0.09282006796443969,-0.13626100586442788,0.005141719934444087,-0.042304753565804196,-0.2737910665210178,0.005828635144047621,0.13333584368228912,-0.7557490468025208,0.018481772392988205,0.0,0.0,0.0,-3.1089663058519363,0.4681776329409331,11.060182656188012,0.0,0.0,0.0,0.0,0.0,0.0,True
1714204025.7634368,9,1714204025,762903213,,1.9636318683624268,0.007367914542555809,1.0821219682693481,1.9920198917388916,0.1784839630126953,1.0,0.028388023376464844,0.1711160484701395,-0.08212196826934814,0.0,0.0,0.0,0.6418048739433289,0.8443601131439209,0.39227160811424255,-0.07476318627595901,0.8344153761863708,0.0,-0.7165680602192879,-0.009944736957550049,-0.39227160811424255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04521099478006363,-0.0718332901597023,-0.00035335906432010233,0.9963914752006531,-0.016103208733748202,-0.13992840500964082,0.0,0.9900306703026606,-0.091108334653144,-0.1436738659024219,0.0058514629181638,-0.03319058586937,-0.28074007426208164,0.004690228542238012,0.22846341133117676,-0.7266871333122253,-0.008791404776275158,0.0,0.0,0.0,-3.175181408971548,0.3654055014252663,11.005268610854149,0.0,0.0,0.0,0.0,0.0,0.0,True
1714204025.7733166,10,1714204025,772929906,,1.9701327085494995,0.015988530591130257,1.0861283540725708,1.991513729095459,0.18404601514339447,1.0,0.021381020545959473,0.1680574845522642,-0.0861283540725708,0.0,0.0,0.0,0.6477420926094055,0.8711109161376953,0.4032825231552124,-0.07709302008152008,0.8342033624649048,0.0,-0.7248351126909256,-0.03690755367279053,-0.4032825231552124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04387796297669411,-0.0754256322979927,-0.00018660133355297148,0.9961855411529541,-0.0111053343671665,-0.14269451307271866,0.0,0.9897044748244463,-0.08851261609565614,-0.1508638522277254,0.0063190834459378765,-0.022917064379598156,-0.2863479758952526,0.0033038741769695684,0.27971509099006653,-0.7266411781311035,-0.008498637937009335,0.0,0.0,0.0,-3.2255256667733194,0.25102956146001815,10.951909439105988,0.0,0.0,0.0,0.0,0.0,0.0,True
